Genre,Movie Name,Year,Rating,Votes,Type,Detail/Main Story,Metascore
Adventure,59. Wish,2023,5.8?(15K),"Votes15,159",,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,47
Adventure,60. Smallville,2001?2011,7.5?(136K),"Votes136,348",TV Series,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.",
Adventure,61. Andor,2022?,8.4?(159K),"Votes158,637",TV Series,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.",
Adventure,62. The Flash,2023,6.7?(199K),"Votes199,484",,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",55
Adventure,63. Guardians of the Galaxy Vol. 3,2023,7.9?(365K),"Votes364,606",,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",64
Adventure,64. Mad Max: Fury Road,2015,8.1?(1.1M),"Votes1,069,639",,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",90
Adventure,65. The Flash,2014?2023,7.5?(366K),"Votes366,005",TV Series,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.",
Adventure,66. Dungeons & Dragons: Honour Among Thieves,2023,7.3?(215K),"Votes214,614",,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",72
Adventure,67. Spider-Man: No Way Home,2021,8.2?(859K),"Votes858,766",,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",71
Adventure,68. Once Upon a Time,2011?2018,7.7?(235K),"Votes235,173",TV Series,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,
Adventure,69. Transformers: Rise of the Beasts,2023,6.0?(97K),"Votes97,033",,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",42
